phs,pht,phv,n,count_available
phs000007,pht000022,phv00004203,1298,True
phs000007,pht000023,phv00004598,1210,True
phs000007,pht000027,phv00006466,666,True
phs000007,pht000027,phv00006467,664,True
phs000007,pht000028,phv00006854,541,True
phs000007,pht000028,phv00006855,541,True
phs000007,pht000029,phv00007291,408,True
phs000007,pht000029,phv00007292,405,True
phs000007,pht000033,phv00008784,3890,True
phs000007,pht000034,phv00009180,3675,True
phs000007,pht000035,phv00009680,3394,True
phs000007,pht000035,phv00009681,3389,True
phs000007,pht000036,phv00010160,3456,True
phs000007,pht000036,phv00010161,3453,True
phs000007,pht000395,phv00055374,973,True
phs000007,pht000395,phv00055375,973,True
phs000007,pht000032,phv00008387,3751,True
phs000007,pht000032,phv00009179,3676,True
phs000007,pht004814,phv00250730,387,True
phs000007,pht004814,phv00250731,387,True
phs000007,pht000019,phv00002954,2027,True
phs000007,pht000020,phv00003326,1716,True
phs000007,pht000021,phv00003767,1433,True
phs000007,pht000021,phv00004202,1298,True
phs000007,pht000023,phv00004597,1209,True
phs000007,pht000027,phv00006462,665,True
phs000007,pht000027,phv00006463,659,True
phs000007,pht000028,phv00006850,541,True
phs000007,pht000028,phv00006851,541,True
phs000007,pht000029,phv00007287,408,True
phs000007,pht000029,phv00007288,408,True
phs000007,pht000032,phv00008386,3751,True
phs000007,pht000033,phv00008783,3888,True
phs000007,pht000034,phv00009178,3676,True
phs000007,pht000035,phv00009679,3396,True
phs000007,pht000036,phv00010156,3459,True
phs000007,pht000036,phv00010157,3454,True
phs000007,pht000395,phv00055376,973,True
phs000007,pht000397,phv00056933,789,True
phs000007,pht000397,phv00056953,789,True
phs000007,pht000397,phv00056954,789,True
phs000007,pht000397,phv00056999,789,True
phs000007,pht000397,phv00057000,789,True
phs000007,pht004814,phv00250743,387,True
phs000007,pht004814,phv00250744,387,True
phs000007,pht000019,phv00002961,2027,True
phs000007,pht000019,phv00002962,2027,True
phs000007,pht000020,phv00003340,1717,True
phs000007,pht000020,phv00003343,245,True
phs000007,pht000021,phv00003776,1433,True
phs000007,pht000021,phv00003777,1433,True
phs000007,pht000022,phv00004211,1293,True
phs000007,pht000022,phv00004212,1294,True
phs000007,pht000023,phv00004605,1209,True
phs000007,pht000023,phv00004606,1153,True
phs000007,pht000025,phv00005581,909,True
phs000007,pht000026,phv00006133,712,True
phs000007,pht000027,phv00006474,669,True
phs000007,pht000028,phv00006863,540,True
phs000007,pht000028,phv00006864,541,True
phs000007,pht000029,phv00007300,409,True
phs000007,pht000029,phv00007301,409,True
phs000007,pht000032,phv00008396,3752,True
phs000007,pht000032,phv00008397,3752,True
phs000007,pht000033,phv00008792,3889,True
phs000007,pht000033,phv00008793,3886,True
phs000007,pht000034,phv00009188,3677,True
phs000007,pht000035,phv00009689,3396,True
phs000007,pht000035,phv00009690,3396,True
phs000007,pht000036,phv00010169,3462,True
phs000007,pht000036,phv00010170,3462,True
phs000007,pht004814,phv00250737,387,True
phs000007,pht004814,phv00250738,387,True
phs000007,pht004814,phv00250739,387,True
phs000007,pht000012,phv00001439,3441,True
phs000007,pht000013,phv00001622,2251,True
phs000007,pht000014,phv00001822,3117,True
phs000007,pht000015,phv00002041,2991,True
phs000007,pht000016,phv00002224,2740,True
phs000007,pht000017,phv00002447,2506,True
phs000007,pht000018,phv00002701,2233,True
phs000007,pht000019,phv00002958,2029,True
phs000007,pht000019,phv00002959,2026,True
phs000007,pht000020,phv00003334,1717,True
phs000007,pht000020,phv00003336,1717,True
phs000007,pht000021,phv00003772,1433,True
phs000007,pht000021,phv00003773,1432,True
phs000007,pht000022,phv00004207,1296,True
phs000007,pht000022,phv00004208,1296,True
phs000007,pht000022,phv00004209,1295,True
phs000007,pht000023,phv00004599,1209,True
phs000007,pht000023,phv00004601,1210,True
phs000007,pht000025,phv00004958,1055,True
phs000007,pht000027,phv00006469,669,True
phs000007,pht000027,phv00006471,669,True
phs000007,pht000028,phv00006857,540,True
phs000007,pht000028,phv00006859,541,True
phs000007,pht000029,phv00007294,408,True
phs000007,pht000029,phv00007296,408,True
phs000007,pht000009,phv00000867,3853,True
phs000007,pht000009,phv00000952,4048,True
phs000007,pht000010,phv00001130,3882,True
phs000007,pht000011,phv00001245,3682,True
phs000007,pht000030,phv00007590,4954,True
phs000007,pht000030,phv00007591,4944,True
phs000007,pht000031,phv00007710,3744,True
phs000007,pht000032,phv00008392,3752,True
phs000007,pht000033,phv00008788,3889,True
phs000007,pht000033,phv00008789,3888,True
phs000007,pht000034,phv00009182,3677,True
phs000007,pht000034,phv00009184,3674,True
phs000007,pht000034,phv00009185,3676,True
phs000007,pht000035,phv00009685,3395,True
phs000007,pht000036,phv00010163,3461,True
phs000007,pht000036,phv00010165,3462,True
phs000007,pht000395,phv00055358,973,True
phs000007,pht000395,phv00055359,973,True
phs000007,pht000395,phv00055381,973,True
phs000007,pht000397,phv00056959,789,True
phs000007,pht000397,phv00056968,789,True
phs000007,pht000397,phv00057004,789,True
phs000007,pht004814,phv00250767,388,True
phs000007,pht000014,phv00001827,3133,True
phs000007,pht000015,phv00002046,3009,True
phs000007,pht000016,phv00002229,2745,True
phs000007,pht000017,phv00002451,2508,True
phs000007,pht000018,phv00002705,2235,True
phs000007,pht000019,phv00002970,2028,True
phs000007,pht000020,phv00003358,1717,True
phs000007,pht000021,phv00003789,1433,True
phs000007,pht000022,phv00004224,1299,True
phs000007,pht000023,phv00004620,1210,True
phs000007,pht000027,phv00006492,666,True
phs000007,pht000028,phv00006887,541,True
phs000007,pht000029,phv00007324,408,True
phs000007,pht000031,phv00007718,3743,True
phs000007,pht000032,phv00008404,3754,True
phs000007,pht000033,phv00008805,3885,True
phs000007,pht000034,phv00009207,3678,True
phs000007,pht000035,phv00009708,3395,True
phs000007,pht000036,phv00010193,3466,True
phs000007,pht000395,phv00055345,973,True
phs000007,pht000397,phv00056962,789,True
phs000007,pht003094,phv00177254,3742,True
phs000007,pht006005,phv00273715,101,True
phs000007,pht005140,phv00254028,2652,True
phs000007,pht006008,phv00275073,36,True
phs000007,pht000074,phv00020881,4033,True
phs000007,pht004814,phv00250758,386,True
phs000007,pht004814,phv00250759,386,True
phs000007,pht004814,phv00250760,386,True
phs000007,pht000027,phv00006483,668,True
phs000007,pht000027,phv00006484,668,True
phs000007,pht000027,phv00006485,668,True
phs000007,pht000028,phv00006878,541,True
phs000007,pht000028,phv00006879,541,True
phs000007,pht000028,phv00006880,541,True
phs000007,pht000029,phv00007315,408,True
phs000007,pht000029,phv00007316,408,True
phs000007,pht000029,phv00007317,408,True
phs000007,pht000030,phv00007593,4955,True
phs000007,pht000031,phv00007711,3742,True
phs000007,pht000032,phv00008401,3753,True
phs000007,pht000033,phv00008800,3885,True
phs000007,pht000034,phv00009198,3678,True
phs000007,pht000034,phv00009199,3678,True
phs000007,pht000034,phv00009200,3678,True
phs000007,pht000034,phv00009202,3677,True
phs000007,pht000035,phv00009699,3401,True
phs000007,pht000035,phv00009700,3401,True
phs000007,pht000035,phv00009701,3401,True
phs000007,pht000035,phv00009703,3401,True
phs000007,pht000036,phv00010184,3464,True
phs000007,pht000036,phv00010185,3464,True
phs000007,pht000036,phv00010186,3464,True
phs000007,pht000036,phv00010188,3464,True
phs000007,pht000395,phv00055369,973,True
phs000007,pht000395,phv00055370,973,True
phs000007,pht000397,phv00056940,789,True
phs000007,pht000397,phv00056957,789,True
phs000007,pht000397,phv00056971,789,True
phs000007,pht000029,phv00007319,407,True
phs000007,pht000009,phv00000868,3557,True
phs000007,pht000028,phv00006882,541,True
phs000007,pht000027,phv00006487,667,True
phs000007,pht000023,phv00004615,1210,True
phs000007,pht000022,phv00004219,1299,True
phs000007,pht000021,phv00003784,1433,True
phs000007,pht000018,phv00002702,2235,True
phs000007,pht000017,phv00002448,2505,True
phs000007,pht000016,phv00002226,2745,True
phs000007,pht000015,phv00002043,3009,True
phs000007,pht000014,phv00001824,3131,True
phs000007,pht000013,phv00001624,2852,True
phs000007,pht000012,phv00001441,3445,True
phs000007,pht004814,phv00250762,387,True
phs000007,pht004813,phv00565529,490,True
phs000007,pht004813,phv00565530,490,True
phs000007,pht004813,phv00565531,490,True
phs000007,pht004813,phv00565532,490,True
phs000007,pht004813,phv00565533,490,True
phs000007,pht000074,phv00020879,4034,True
phs000007,pht006005,phv00273713,101,True
phs000007,pht006006,phv00565876,404,True
phs000007,pht004814,phv00250769,388,True
phs000007,pht004814,phv00250770,387,True
phs000007,pht004814,phv00250771,386,True
phs000007,pht004814,phv00250772,387,True
phs000007,pht004814,phv00250773,386,True
phs000007,pht004814,phv00250774,386,True
phs000007,pht004814,phv00250775,386,True
phs000007,pht004814,phv00250776,386,True
phs000007,pht000012,phv00001445,2835,True
phs000007,pht000013,phv00001628,2828,True
phs000007,pht000014,phv00001829,3132,True
phs000007,pht000015,phv00002048,3007,True
phs000007,pht000016,phv00002230,2745,True
phs000007,pht000017,phv00002452,2508,True
phs000007,pht000018,phv00002706,2235,True
phs000007,pht000019,phv00002969,2028,True
phs000007,pht000020,phv00003356,1716,True
phs000007,pht000021,phv00003790,1433,True
phs000007,pht000022,phv00004225,1300,True
phs000007,pht000023,phv00004621,1210,True
phs000007,pht000027,phv00006494,669,True
phs000007,pht000028,phv00006889,541,True
phs000007,pht000028,phv00006890,541,True
phs000007,pht000028,phv00006891,521,True
phs000007,pht000028,phv00006892,541,True
phs000007,pht000028,phv00006893,541,True
phs000007,pht000028,phv00006894,541,True
phs000007,pht000028,phv00006895,521,True
phs000007,pht000028,phv00006896,521,True
phs000007,pht000028,phv00006897,541,True
phs000007,pht000028,phv00006898,541,True
phs000007,pht000029,phv00007326,407,True
phs000007,pht000029,phv00007327,405,True
phs000007,pht000029,phv00007328,405,True
phs000007,pht000029,phv00007329,405,True
phs000007,pht000029,phv00007330,405,True
phs000007,pht000029,phv00007331,404,True
phs000007,pht000029,phv00007332,405,True
phs000007,pht000029,phv00007333,404,True
phs000007,pht000029,phv00007334,404,True
phs000007,pht000029,phv00007335,404,True
phs000007,pht000030,phv00007597,4954,True
phs000007,pht000031,phv00007715,3743,True
phs000007,pht000032,phv00008405,3753,True
phs000007,pht000033,phv00008806,3882,True
phs000007,pht000034,phv00009209,3677,True
phs000007,pht000035,phv00009710,3400,True
phs000007,pht000036,phv00010195,3466,True
phs000007,pht000036,phv00010196,3460,True
phs000007,pht000036,phv00010197,3460,True
phs000007,pht000036,phv00010198,3459,True
phs000007,pht000036,phv00010199,3462,True
phs000007,pht000036,phv00010200,3458,True
phs000007,pht000036,phv00010201,3460,True
phs000007,pht000036,phv00010202,3457,True
phs000007,pht000397,phv00056978,789,True
phs000007,pht004814,phv00250761,386,True
phs000007,pht000027,phv00006486,668,True
phs000007,pht000028,phv00006881,541,True
phs000007,pht000029,phv00007318,408,True
phs000007,pht000035,phv00009702,3401,True
phs000007,pht000036,phv00010187,3465,True
phs000007,pht006018,phv00276812,1077,True
phs000007,pht004814,phv00250747,387,True
phs000007,pht000019,phv00002964,2027,True
phs000007,pht000020,phv00003346,1717,True
phs000007,pht000021,phv00003781,1433,True
phs000007,pht000022,phv00004216,1292,True
phs000007,pht000023,phv00004609,1208,True
phs000007,pht000027,phv00006477,669,True
phs000007,pht000028,phv00006867,541,True
phs000007,pht000029,phv00007304,409,True
phs000007,pht000032,phv00008389,3753,True
phs000007,pht000033,phv00008797,3887,True
phs000007,pht000034,phv00009192,3676,True
phs000007,pht000035,phv00009693,3395,True
phs000007,pht000036,phv00010173,3462,True
phs000007,pht000395,phv00055368,973,True
phs000007,pht000395,phv00055379,973,True
phs000007,pht000395,phv00055380,973,True
phs000007,pht000397,phv00056997,789,True
phs000007,pht000397,phv00056998,789,True
phs000007,pht006018,phv00276811,1075,True
phs000007,pht000035,phv00010135,3355,True
phs000007,pht009761,phv00423929,5381,True
phs000007,pht000013,phv00001581,1309,True
phs000007,pht000036,phv00010142,3265,True
phs000007,pht000074,phv00021391,4031,True
phs000007,pht000742,phv00071890,2859,True
phs000007,pht004801,phv00227014,489,True
phs000007,pht006010,phv00275402,384,True
phs000007,pht006011,phv00275413,284,True
phs000007,pht006026,phv00277047,4536,True
phs000007,pht006026,phv00277048,3738,True
phs000007,pht009761,phv00544738,2391,True
phs000007,pht009761,phv00544854,2242,True
phs000007,pht009761,phv00544850,3817,True
phs000007,pht007777,phv00370081,137,True
phs000007,pht007777,phv00370078,490,True
phs000007,pht007777,phv00369656,4298,True
phs000007,pht007777,phv00370065,4048,True
phs000007,pht007777,phv00369660,4068,True
phs000007,pht007777,phv00370069,3917,True
phs000007,pht007777,phv00369667,2750,True
phs000007,pht007777,phv00370072,2687,True
phs000007,pht007777,phv00369661,3909,True
phs000007,pht007777,phv00370070,3777,True
phs000007,pht007777,phv00369659,4139,True
phs000007,pht007777,phv00370068,3954,True
phs000007,pht007777,phv00369673,1301,True
phs000007,pht007777,phv00370074,1172,True
phs000007,pht007777,phv00370077,569,True
phs000007,pht007777,phv00369668,2511,True
phs000007,pht007777,phv00370073,2431,True
phs000007,pht007777,phv00369655,4671,True
phs000007,pht007777,phv00370064,4467,True
phs000007,pht007777,phv00369666,3011,True
phs000007,pht007777,phv00370071,2895,True
phs000007,pht007777,phv00369676,913,True
phs000007,pht007777,phv00370076,740,True
phs000007,pht007777,phv00369675,1059,True
phs000007,pht007777,phv00370075,847,True
phs000007,pht007777,phv00369654,5079,True
phs000007,pht007777,phv00370063,3092,True
phs000007,pht007777,phv00369658,4303,True
phs000007,pht007777,phv00370067,4118,True
phs000007,pht007777,phv00370079,326,True
phs000007,pht007777,phv00370080,215,True
phs000007,pht009755,phv00423784,2688,True
phs000007,pht009761,phv00423932,4083,True
phs000007,pht009761,phv00423931,3913,True
phs000007,pht009761,phv00423930,4046,True
phs000007,pht009755,phv00423783,2688,True
phs000007,pht000009,phv00000931,1679,True
phs000007,pht000010,phv00001054,779,True
phs000007,pht000011,phv00001209,2598,True
phs000007,pht000034,phv00009576,3651,True
phs000007,pht000035,phv00010136,3355,True
phs000007,pht000036,phv00010144,3265,True
phs000007,pht000074,phv00021393,4031,True
phs000007,pht000742,phv00071892,2859,True
phs000007,pht002889,phv00172172,3738,True
phs000007,pht005143,phv00255342,505,True
phs000007,pht004801,phv00227015,489,True
phs000007,pht006010,phv00275403,384,True
phs000007,pht006011,phv00275415,284,True
phs000007,pht004802,phv00227056,2523,True
phs000007,pht001045,phv00081038,1127,True
phs000007,pht000395,phv00055264,837,True
phs000007,pht006026,phv00277049,4536,True
phs000007,pht006026,phv00277050,3738,True
phs000007,pht009761,phv00423933,5379,True
phs000007,pht009761,phv00423934,4046,True
phs000007,pht009761,phv00423935,3912,True
phs000007,pht009761,phv00423936,4081,True
phs000007,pht007777,phv00370082,1679,True
phs000007,pht007777,phv00370083,779,True
phs000007,pht007777,phv00370084,558,True
phs000007,pht007777,phv00370085,490,True
phs000007,pht007777,phv00370086,326,True
phs000007,pht007777,phv00370087,215,True
phs000007,pht007777,phv00370088,137,True
phs000007,pht002072,phv00141866,3332,True
phs000007,pht002072,phv00141868,3332,True
phs000007,pht002072,phv00177940,7541,True
phs000007,pht006018,phv00276804,186,True
phs000007,pht000031,phv00008002,3662,True
phs000007,pht007776,phv00369621,799,True
phs000007,pht006018,phv00276882,746,True
phs000007,pht007776,phv00369618,841,True
phs000007,pht006018,phv00276881,742,True
phs000007,pht007776,phv00369617,802,True
phs000007,pht006018,phv00276883,832,True
phs000007,pht007776,phv00369619,1122,True
phs000007,pht006018,phv00276884,726,True
phs000007,pht007776,phv00369620,576,True
phs000007,pht002151,phv00157632,896,True
phs000007,pht002151,phv00157633,893,True
phs000007,pht002151,phv00157634,886,True
phs000007,pht002151,phv00157635,893,True
phs000007,pht002151,phv00157636,894,True
phs000007,pht002151,phv00157637,894,True
phs000007,pht002151,phv00157638,894,True
phs000007,pht002151,phv00157639,896,True
phs000007,pht002151,phv00157640,896,True
phs000007,pht002151,phv00157641,898,True
phs000007,pht002151,phv00157642,860,True
phs000007,pht002151,phv00157643,893,True
phs000007,pht002151,phv00157644,893,True
phs000007,pht002151,phv00157645,898,True
phs000007,pht002151,phv00157646,894,True
phs000007,pht002151,phv00157647,895,True
phs000007,pht002151,phv00157648,885,True
phs000007,pht002151,phv00157649,897,True
phs000007,pht002151,phv00157650,895,True
phs000007,pht002151,phv00157651,896,True
phs000007,pht002151,phv00157652,890,True
phs000007,pht002151,phv00157653,894,True
phs000007,pht002151,phv00157654,897,True
phs000007,pht002151,phv00157655,892,True
phs000007,pht002151,phv00157656,895,True
phs000007,pht002151,phv00157657,894,True
phs000007,pht002151,phv00157658,896,True
phs000007,pht002151,phv00157659,895,True
phs000007,pht002153,phv00158435,620,True
phs000007,pht002153,phv00158436,609,True
phs000007,pht002153,phv00158437,605,True
phs000007,pht002153,phv00158438,615,True
phs000007,pht002153,phv00158439,614,True
phs000007,pht002153,phv00158440,622,True
phs000007,pht002153,phv00158441,616,True
phs000007,pht002153,phv00158442,624,True
phs000007,pht002153,phv00158443,615,True
phs000007,pht002153,phv00158444,624,True
phs000007,pht002153,phv00158445,612,True
phs000007,pht002153,phv00158446,617,True
phs000007,pht002153,phv00158447,619,True
phs000007,pht002153,phv00158448,624,True
phs000007,pht002153,phv00158449,611,True
phs000007,pht002153,phv00158450,621,True
phs000007,pht002153,phv00158451,616,True
phs000007,pht002153,phv00158452,625,True
phs000007,pht002153,phv00158453,625,True
phs000007,pht002153,phv00158454,624,True
phs000007,pht002153,phv00158455,610,True
phs000007,pht002153,phv00158456,621,True
phs000007,pht002153,phv00158457,618,True
phs000007,pht002153,phv00158458,616,True
phs000007,pht002153,phv00158459,620,True
phs000007,pht002153,phv00158460,624,True
phs000007,pht002153,phv00158461,620,True
phs000007,pht002153,phv00158462,625,True
phs000007,pht000680,phv00070081,3306,True
phs000007,pht000680,phv00070082,3269,True
phs000007,pht000680,phv00070083,3258,True
phs000007,pht000680,phv00070084,3288,True
phs000007,pht000680,phv00070085,3283,True
phs000007,pht000680,phv00070086,3300,True
phs000007,pht000680,phv00070087,3290,True
phs000007,pht000680,phv00070088,3310,True
phs000007,pht000680,phv00070089,3301,True
phs000007,pht000680,phv00070090,3295,True
phs000007,pht000680,phv00070091,3278,True
phs000007,pht000680,phv00070092,3285,True
phs000007,pht000680,phv00070093,3291,True
phs000007,pht000680,phv00070094,3309,True
phs000007,pht000680,phv00070095,3274,True
phs000007,pht000680,phv00070096,3301,True
phs000007,pht000680,phv00070097,3283,True
phs000007,pht000680,phv00070098,3309,True
phs000007,pht000680,phv00070099,3315,True
phs000007,pht000680,phv00070100,3302,True
phs000007,pht000680,phv00070101,3295,True
phs000007,pht000680,phv00070102,3285,True
phs000007,pht000680,phv00070103,3285,True
phs000007,pht000680,phv00070104,3298,True
phs000007,pht000680,phv00070105,3305,True
phs000007,pht000680,phv00070106,3308,True
phs000007,pht000680,phv00070107,3298,True
phs000007,pht000680,phv00070108,3314,True
phs000007,pht000681,phv00068488,3027,True
phs000007,pht000681,phv00068489,3004,True
phs000007,pht000681,phv00068490,2979,True
phs000007,pht000681,phv00068491,3001,True
phs000007,pht000681,phv00068492,3018,True
phs000007,pht000681,phv00068493,3024,True
phs000007,pht000681,phv00068494,3010,True
phs000007,pht000681,phv00068495,3026,True
phs000007,pht000681,phv00068496,3018,True
phs000007,pht000681,phv00068497,3016,True
phs000007,pht000681,phv00068498,2997,True
phs000007,pht000681,phv00068499,3011,True
phs000007,pht000681,phv00068500,3004,True
phs000007,pht000681,phv00068501,3021,True
phs000007,pht000681,phv00068502,3013,True
phs000007,pht000681,phv00068503,3009,True
phs000007,pht000681,phv00068504,3007,True
phs000007,pht000681,phv00068505,3020,True
phs000007,pht000681,phv00068506,3030,True
phs000007,pht000681,phv00068507,3025,True
phs000007,pht000681,phv00068508,3011,True
phs000007,pht000681,phv00068509,3009,True
phs000007,pht000681,phv00068510,3008,True
phs000007,pht000681,phv00068511,3015,True
phs000007,pht000681,phv00068512,3016,True
phs000007,pht000681,phv00068513,3025,True
phs000007,pht000681,phv00068514,3011,True
phs000007,pht000681,phv00068515,3028,True
phs000007,pht000682,phv00069057,2971,True
phs000007,pht000682,phv00069058,2945,True
phs000007,pht000682,phv00069059,2940,True
phs000007,pht000682,phv00069060,2958,True
phs000007,pht000682,phv00069061,2966,True
phs000007,pht000682,phv00069062,2973,True
phs000007,pht000682,phv00069063,2965,True
phs000007,pht000682,phv00069064,2977,True
phs000007,pht000682,phv00069065,2970,True
phs000007,pht000682,phv00069066,2962,True
phs000007,pht000682,phv00069067,2957,True
phs000007,pht000682,phv00069068,2967,True
phs000007,pht000682,phv00069069,2972,True
phs000007,pht000682,phv00069070,2974,True
phs000007,pht000682,phv00069071,2955,True
phs000007,pht000682,phv00069072,2961,True
phs000007,pht000682,phv00069073,2956,True
phs000007,pht000682,phv00069074,2979,True
phs000007,pht000682,phv00069075,2980,True
phs000007,pht000682,phv00069076,2973,True
phs000007,pht000682,phv00069077,2966,True
phs000007,pht000682,phv00069078,2967,True
phs000007,pht000682,phv00069079,2953,True
phs000007,pht000682,phv00069080,2966,True
phs000007,pht000682,phv00069081,2972,True
phs000007,pht000682,phv00069082,2978,True
phs000007,pht000682,phv00069083,2975,True
phs000007,pht000682,phv00069084,2978,True
phs000007,pht002150,phv00157191,3704,True
phs000007,pht002150,phv00157192,3672,True
phs000007,pht002150,phv00157193,3663,True
phs000007,pht002150,phv00157194,3674,True
phs000007,pht002150,phv00157195,3683,True
phs000007,pht002150,phv00157196,3698,True
phs000007,pht002150,phv00157197,3701,True
phs000007,pht002150,phv00157198,3703,True
phs000007,pht002150,phv00157199,3704,True
phs000007,pht002150,phv00157200,3699,True
phs000007,pht002150,phv00157201,3695,True
phs000007,pht002150,phv00157202,3680,True
phs000007,pht002150,phv00157203,3692,True
phs000007,pht002150,phv00157204,3697,True
phs000007,pht002150,phv00157205,3668,True
phs000007,pht002150,phv00157206,3690,True
phs000007,pht002150,phv00157207,3663,True
phs000007,pht002150,phv00157208,3700,True
phs000007,pht002150,phv00157209,3707,True
phs000007,pht002150,phv00157210,3701,True
phs000007,pht002150,phv00157211,3692,True
phs000007,pht002150,phv00157212,3668,True
phs000007,pht002150,phv00157213,3689,True
phs000007,pht002150,phv00157214,3692,True
phs000007,pht002150,phv00157215,3687,True
phs000007,pht002150,phv00157216,3679,True
phs000007,pht002150,phv00157217,3683,True
phs000007,pht002150,phv00157218,3696,True
phs000007,pht002900,phv00172970,3534,True
phs000007,pht002900,phv00172971,3531,True
phs000007,pht002900,phv00172972,3510,True
phs000007,pht002900,phv00172973,3532,True
phs000007,pht002900,phv00172974,3526,True
phs000007,pht002900,phv00172975,3526,True
phs000007,pht002900,phv00172976,3530,True
phs000007,pht002900,phv00172977,3532,True
phs000007,pht002900,phv00172978,3537,True
phs000007,pht002900,phv00172979,3534,True
phs000007,pht002900,phv00172980,3533,True
phs000007,pht002900,phv00172981,3531,True
phs000007,pht002900,phv00172982,3530,True
phs000007,pht002900,phv00172983,3528,True
phs000007,pht002900,phv00172984,3530,True
phs000007,pht002900,phv00172985,3523,True
phs000007,pht002900,phv00172986,3530,True
phs000007,pht002900,phv00172987,3531,True
phs000007,pht002900,phv00172988,3533,True
phs000007,pht002900,phv00172989,3529,True
phs000007,pht002900,phv00172990,3532,True
phs000007,pht002900,phv00172991,3518,True
phs000007,pht002900,phv00172992,3535,True
phs000007,pht002900,phv00172993,3532,True
phs000007,pht002900,phv00172994,3522,True
phs000007,pht002900,phv00172995,3527,True
phs000007,pht002900,phv00172996,3531,True
phs000007,pht002900,phv00172997,3532,True
phs000007,pht002350,phv00162569,2667,True
phs000007,pht002350,phv00162570,2634,True
phs000007,pht002350,phv00162571,2633,True
phs000007,pht002350,phv00162572,2651,True
phs000007,pht002350,phv00162573,2658,True
phs000007,pht002350,phv00162574,2655,True
phs000007,pht002350,phv00162575,2656,True
phs000007,pht002350,phv00162576,2669,True
phs000007,pht002350,phv00162577,2666,True
phs000007,pht002350,phv00162578,2662,True
phs000007,pht002350,phv00162579,2643,True
phs000007,pht002350,phv00162580,2643,True
phs000007,pht002350,phv00162581,2642,True
phs000007,pht002350,phv00162582,2666,True
phs000007,pht002350,phv00162583,2640,True
phs000007,pht002350,phv00162584,2665,True
phs000007,pht002350,phv00162585,2647,True
phs000007,pht002350,phv00162586,2673,True
phs000007,pht002350,phv00162587,2676,True
phs000007,pht002350,phv00162588,2657,True
phs000007,pht002350,phv00162589,2657,True
phs000007,pht002350,phv00162590,2641,True
phs000007,pht002350,phv00162591,2644,True
phs000007,pht002350,phv00162592,2661,True
phs000007,pht002350,phv00162593,2664,True
phs000007,pht002350,phv00162594,2668,True
phs000007,pht002350,phv00162595,2651,True
phs000007,pht002350,phv00162596,2668,True
phs000007,pht006005,phv00273899,101,True
phs000007,pht000692,phv00070487,300,True
phs000007,pht000074,phv00021066,4033,True
phs000007,pht000744,phv00071923,92,True
phs000007,pht000744,phv00071924,40,True
phs000007,pht000744,phv00071925,9,True
phs000007,pht000744,phv00071926,7,True
phs000007,pht000744,phv00071928,212,True
phs000007,pht000744,phv00071929,19,True
phs000007,pht010724,phv00461919,3461,True
phs000007,pht006005,phv00273898,101,True
phs000007,pht000028,phv00007028,503,True
phs000007,pht000029,phv00007461,410,True
phs000007,pht000692,phv00070486,299,True
phs000007,pht000036,phv00010342,3427,True
phs000007,pht000036,phv00010343,3427,True
phs000007,pht000036,phv00010478,3274,True
phs000007,pht000074,phv00021065,4036,True
phs000007,pht000744,phv00071915,39,True
phs000007,pht000744,phv00071917,537,True
phs000007,pht000744,phv00071919,5,True
phs000007,pht000744,phv00071934,11,True
phs000007,pht000744,phv00071930,340,True
phs000007,pht000744,phv00071932,230,True
phs000007,pht000744,phv00071933,9,True
phs000007,pht010724,phv00461918,3461,True
phs000007,pht006008,phv00276986,462,True
phs000007,pht000139,phv00023150,1382,True
phs000007,pht000139,phv00177942,7536,True
phs000007,pht000140,phv00023159,1933,True
phs000007,pht000140,phv00177930,15089,True
phs000007,pht003094,phv00177543,3739,True
phs000007,pht006005,phv00274057,101,True
phs000007,pht004814,phv00251065,384,True
phs000007,pht004815,phv00251538,284,True
phs000007,pht004815,phv00251540,284,True
phs000007,pht005140,phv00254291,2525,True
phs000007,pht000021,phv00003672,1330,True
phs000007,pht000022,phv00004088,1168,True
phs000007,pht000023,phv00004530,1018,True
phs000007,pht000024,phv00005544,863,True
phs000007,pht000025,phv00005924,738,True
phs000007,pht000033,phv00008767,3862,True
phs000007,pht000034,phv00009555,3660,True
phs000007,pht000035,phv00010112,3331,True
phs000007,pht000036,phv00010502,3242,True
phs000007,pht000747,phv00072341,2887,True
phs000007,pht000747,phv00072342,2893,True
phs000007,pht000074,phv00021235,4015,True
phs000007,pht006026,phv00277053,4519,True
phs000007,pht006026,phv00277054,3739,True
phs000007,pht006026,phv00520309,3445,True
phs000007,pht009761,phv00423941,483,True
phs000007,pht009761,phv00423942,384,True
phs000007,pht009761,phv00423943,284,True
phs000007,pht009761,phv00423944,4143,True
phs000007,pht007777,phv00369657,4422,True
phs000007,pht007777,phv00370119,4368,True
phs000007,pht007777,phv00370120,4244,True
phs000007,pht007777,phv00369672,1440,True
phs000007,pht007777,phv00370121,1330,True
phs000007,pht007777,phv00370122,1168,True
phs000007,pht007777,phv00369674,1210,True
phs000007,pht007777,phv00370123,1018,True
phs000007,pht007777,phv00370124,863,True
phs000007,pht007777,phv00370125,738,True
phs000007,pht000031,phv00008108,3584,True
phs000007,pht002889,phv00172178,2793,True
phs000007,pht004802,phv00227025,2493,True
phs000007,pht001045,phv00081030,975,True
phs000007,pht006018,phv00276855,1017,True
phs000007,pht000030,phv00007640,4445,True
phs000007,pht000198,phv00024571,3451,True
