phs,pht,phv,n,count_available
phs000007,pht004363,phv00177942,7536,True
phs000007,pht004363,phv00219547,2783,True
phs000007,pht004363,phv00219549,2783,True
phs000007,pht000313,phv00036493,4016,True
phs000007,pht000313,phv00177930,15089,True
phs000007,pht000030,phv00008098,3569,True
phs000007,pht002889,phv00172166,3732,True
phs000007,pht002889,phv00172202,3732,True
phs000007,pht004802,phv00227050,2508,True
phs000007,pht004802,phv00227066,2508,True
phs000007,pht001045,phv00081020,1019,True
phs000007,pht000309,phv00036469,20247,True
phs000007,pht000309,phv00036471,20247,True
phs000007,pht000309,phv00177926,15089,True
phs000007,pht000309,phv00177930,15089,True
phs000007,pht000395,phv00056501,973,True
phs000007,pht000395,phv00056587,2992,True
phs000007,pht000395,phv00055553,905,True
phs000007,pht000397,phv00056723,858,True
phs000007,pht000397,phv00057941,627,True
phs000007,pht000030,phv00007567,4754,True
phs000007,pht000031,phv00008093,3572,True
phs000007,pht001045,phv00081021,1019,True
phs000007,pht002889,phv00172165,3732,True
phs000007,pht004802,phv00227049,2507,True
phs000007,pht000023,phv00004923,1207,True
phs000007,pht000009,phv00000484,5019,True
phs000007,pht000009,phv00000603,4640,True
phs000007,pht000009,phv00000701,4351,True
phs000007,pht000018,phv00002713,2231,True
phs000007,pht000019,phv00003013,2018,True
phs000007,pht000019,phv00003014,2019,True
phs000007,pht000019,phv00003015,2016,True
phs000007,pht000019,phv00003016,2017,True
phs000007,pht000020,phv00003399,1702,True
phs000007,pht000021,phv00003856,1427,True
phs000007,pht000021,phv00004065,1434,True
phs000007,pht000022,phv00004292,1297,True
phs000007,pht000022,phv00004293,1297,True
phs000007,pht000022,phv00004294,1293,True
phs000007,pht000022,phv00004295,1295,True
phs000007,pht000022,phv00004487,1290,True
phs000007,pht000023,phv00004694,1207,True
phs000007,pht000024,phv00005045,1056,True
phs000007,pht000024,phv00005285,1058,True
phs000007,pht000025,phv00005665,910,True
phs000007,pht000025,phv00005912,901,True
phs000007,pht000026,phv00006183,706,True
phs000007,pht000027,phv00006529,668,True
phs000007,pht000027,phv00006650,663,True
phs000007,pht000028,phv00006960,539,True
phs000007,pht000028,phv00007085,541,True
phs000007,pht000029,phv00007392,410,True
phs000007,pht000029,phv00007519,408,True
phs000007,pht000031,phv00007778,3739,True
phs000007,pht000032,phv00008468,3754,True
phs000007,pht000032,phv00008469,3753,True
phs000007,pht000032,phv00008470,3750,True
phs000007,pht000032,phv00008471,3742,True
phs000007,pht000032,phv00008701,3634,True
phs000007,pht000033,phv00008881,3885,True
phs000007,pht000033,phv00008882,3866,True
phs000007,pht000033,phv00008883,3857,True
phs000007,pht000033,phv00008884,3856,True
phs000007,pht000033,phv00009088,3864,True
phs000007,pht000034,phv00009292,3671,True
phs000007,pht000034,phv00009543,3669,True
phs000007,pht000035,phv00009799,3396,True
phs000007,pht000035,phv00010057,3387,True
phs000007,pht000036,phv00010270,3457,True
phs000007,pht000036,phv00010489,3462,True
phs000007,pht000036,phv00010661,3223,True
phs000007,pht000036,phv00010662,3177,True
phs000007,pht000074,phv00021205,4027,True
phs000007,pht000074,phv00021292,3995,True
phs000007,pht000074,phv00021293,3982,True
phs000007,pht000074,phv00021294,3985,True
phs000007,pht000107,phv00022715,3147,True
phs000007,pht000107,phv00022716,3074,True
phs000007,pht000395,phv00055304,973,True
phs000007,pht000395,phv00055305,973,True
phs000007,pht000397,phv00056803,790,True
phs000007,pht000397,phv00056804,81,True
phs000007,pht000692,phv00070545,301,True
phs000007,pht000747,phv00072313,2967,True
phs000007,pht000747,phv00072488,2914,True
phs000007,pht000747,phv00072489,2899,True
phs000007,pht000747,phv00072490,2897,True
